pub_num,title,buyer,notice_type,cpv,deadline,link,value,currency,languages,duration,country,description,score,bucket,t1_hits,t2_hits,ai_relevant,ai_reason,fetched_date,raw_score,winner
331604-2026,"Spain – IT services: consulting, software development, Internet and support – Rfp EIT Campus Platform Tool Development ´26-28",EIT Urban Mobility,can-standard,72000000,—,https://ted.europa.eu/en/notice/-/detail/331604-2026,,,,—,ESP,"By the present procurement procedure, EIT Urban Mobility, hereinafter being referred to as “EIT UM”, is seeking professional support for development and implementation of the EIT Campus platform, by appointing a web developer provider (hereinafter being referred to as “provider). This document, along with its annexes, constitute a Request for Proposal (RFP) issued by EIT Urban Mobility for a potential procurement of services in the field of tool development. EIT Urban Mobility is part of the EIT Cross-KIC Entrepreneurial Education and Skills Cluster (EntrEduSkills), a joint pan-European project under Horizon Europe and within the EIT framework. The EIT Knowledge and Innovation Communities (KICs) are thematic hubs that bring together businesses, higher education, and research organisations to drive innovation and skills development across Europe. EntrEduSkills represents an unprecedented endeavour in the EIT Education ecosystem to develop a comprehensive, unique, cross-sectoral education offer that directly implements the Union of Skills and the STEM Strategic Education Plan. Among other initiatives, EntrEduSkills delivers and implements the EIT Campus.",7.0,Market intelligence,eit urban mobility,horizon europe,,,2026-05-19,3,Smultron LLC
305782-2026,"Ireland – Market research services – Provision of Consultancy Services for Market Insight, Go-To-Market Strategy, Brand Strategy and Visual Identity Development – Reddot Food Limited",Reddot Food,can-standard,"79310000, 79413000, 79342000, 79822500",—,https://ted.europa.eu/en/notice/-/detail/305782-2026,70000.0,EUR,,6 month,IRL,"Reddot Food Limited invites tenders for the provision of consultancy services covering market insight, go-to-market planning, brand strategy development and visual identity design for current and future product initiatives. The contract will be awarded on the basis of the Most Economically Advantageous Tender (MEAT). Full details of the scope, deliverables and evaluation criteria are contained within the tender documentation.",5.0,Market intelligence,go-to-market strategy,go-to-market,,,2026-05-19,10,WBS Limited | WBS Limited
270129-2026,Norway – Research and development services and related consultancy services – EU - Horizon - framework agreement,NTNU,can-standard,"73000000, 73200000",—,https://ted.europa.eu/en/notice/-/detail/270129-2026,5000000.0,NOK,,—,NOR,The objective of the procurement of external consultancy services is to increase NTNU's participation in the EU ́s framework programme for research and innovation - Horizon Europe and other European programmes that fund research and innovation activities. See Annex 1_2 for further information and requirements.,1.0,Market intelligence,,horizon europe,,,2026-05-19,3,Trend 2000 Ltd | Yellow Research BV | PNO Consultants BV | Innovayt Norge AS
211674-2026,Belgium – Business and management consultancy and related services – Investment readiness and investor outreach programme (VentureMatch Programme),"European Innovation Council and SMEs Executive Agency (EISMEA), EISMEA - European Innovation Council and SMEs Executive Agency",can-standard,"79400000, 72000000, 79952000, 79340000",—,https://ted.europa.eu/en/notice/-/detail/211674-2026,8400000.0,EUR,,48 month,BEL,"The proposed procurement will support the Agency in running the call for EIC Investment readiness and investor outreach programme (VentureMatch). It will perform specialized support to the EIC Awardees (including blended finance startups selected under the EIC pilot and beneficiaries of the STEP action) in fundraising for technology development, market deployment and scale-up. Among the tasks foreseen are: 1) Supporting the EIC awardees will start with identification, collection and presentation of their investment related needs in a structured form, support them to improve their investor materials, and suggest suitable investors. The contractor shall propose and maintain a dynamic library of high-quality learning materials, guides, and templates. The contractor shall provide support to KAMs from Community tender in organizing investor related activities for companies. 2) Sourcing, support and managing the investors The contractor shall continue to develop the network of investors already created - which would include venture capital funds, impact investment funds, family offices, venture debt funds, NPBIs (National Promotional Banks and Institutions), corporate venture arms, project investors and other types of investors relevant for companies stage and needs. The contract shall identify relevant investors, validate them (limited checks of their website, staff etc) to ensure they are legitimate investors, onboard them on the platform and include them in the activities to be developed. 3) EIC events and investor networking The contractor must organise by itself or in collaboration with relevant partners a number of pitching activities (1 large, 3 medium, 9 epithes) and investor networkign activities (10-15) and provide support to TIN events. 4) CRM, matchmaking, data analytics and communication The contractor shall propose in the tender and implement a robust customer relationship management (CRM) system to centralize and manage all relevant data regarding the fundraising related activities of the companies. Propose a leading matchmaking platform with a robust investor base, proven track record, and user-friendly features, ensuring it supports active engagement and data-driven insights. Data analytics The contractor must be able to analyse information and data coming from internal (EIC IT tools, CRM, matchmaking platform) and external sources (platforms like Pitchbook or Dealroom providing company information) in order to identify trends, measure conversion rates, and recommend adjustments to maximize impact of the activities, fundraising success, and exit readiness on the level Communication The contractor shall reinforce the connection between eligible awardees and clusters of companies via a dedicated communication channel on platforms such Slack. The contractor shall raise visibility of the participating EIC awardees, of the investor activities but also of the EIC Fund to being a key strategic actor within the investment landscape via success",8.0,Market intelligence,investment readiness,"investor outreach, scale-up",,,2026-05-19,10,THE BOSTON CONSULTING GROUP | UNTERNEHMERTUM GMBH
309073-2026,Netherlands – Business development consultancy services – Vrijwillige transparantie inzake voorgenomen enkelvoudige gunning venture development,Brabantse Ontwikkelings Maatschappij (BOM),can-standard,79411100,—,https://ted.europa.eu/en/notice/-/detail/309073-2026,490000.0,EUR,,48 month,NLD,"BOM ontwikkelt programma’s voor groepen startups en scale-ups en speelt daarmee in op specifieke behoeften, afhankelijk van onder andere sector en levensfase. BOM is expert op het gebied van startup-ondersteuning en baseert zich op het Venture Building Framework en het levensfasenmodel. Programma’s die BOM heeft ontwikkeld zijn onder andere VC Readiness, Regenerative Biomaterials, Exit Strategy Awareness en Samenwerken met Defensie. Samen met Gritd ontwikkelde BOM het Startup Readiness Programma (SRP), dat bestaat uit de modules Ready, Game, Set en Match. €450.000 exclusief BTW, exclusief een jaarlijkse reservering van €10.000 voor doorontwikkeling",8.0,Market intelligence,venture building,scale-up,,,2026-05-19,10,Gritd B.V.
330885-2026,"Spain – Business services: law, marketing, consulting, recruitment, printing and security – Rfp Implementation of Digital Marketing and Dissemination Activities for the EIT Campus ´26-28",EIT Urban Mobility,can-standard,79000000,—,https://ted.europa.eu/en/notice/-/detail/330885-2026,,,,—,ESP,"By the present procurement procedure, EIT Urban Mobility, hereinafter being referred to as “EIT UM”, is seeking professional support for the design and implementation of Digital Marketing and Dissemination Activities for the EIT Campus project, by appointing a digital communications and digital marketing provider (hereinafter being referred to as “Provider”). This document, along with its annexes, constitute a Request for Proposal (RFP) issued by EIT Urban Mobility for a potential procurement of services in the field of design and implementation of marketing, communications and dissemination activities for the EIT Campus. EIT Urban Mobility is part of the EIT Cross KIC Entrepreneurial Education and Skills Cluster (EntrEduSkills), a joint pan-European project under Horizon Europe and within the EIT framework that represents an unprecedented endeavour in the EIT Education ecosystem to develop a comprehensive, unique, cross-sectoral education offer that directly implements the Union of Skills and the STEM Strategic Education Plan. Among other initiatives, the EntrEduSkills delivers and implements the EIT Campus.",7.0,Market intelligence,eit urban mobility,horizon europe,,,2026-05-19,3,Piquant
334307-2026,"Spain – Business services: law, marketing, consulting, recruitment, printing and security – Rfp Implementation of Marketing, Communication and Content Activities for the EIT STEM Tech Talent Initiative ´26-28",EIT Urban Mobility,can-standard,79000000,—,https://ted.europa.eu/en/notice/-/detail/334307-2026,,,,—,ESP,"By the present procurement procedure, EIT Urban Mobility, hereinafter being referred to as “EIT UM”, is seeking professional support for the Design and Implementation of Marketing, Communication and Content Activities for the EIT STEM Tech Talent Initiative (hereinafter being referred to as “EIT STEM”), by appointing a communications and digital marketing provider (hereinafter being referred to as “Provider”). This document, along with its annexes, constitute a Request for Proposal (RFP) issued by EIT Urban Mobility for a potential procurement of services in the field of design and implementation of marketing, communications and content activities for the EIT STEM. EIT Urban Mobility is part of the EIT Cross KIC Entrepreneurial Education and Skills Cluster (EntrEduSkills), a joint pan-European project under Horizon Europe and within the EIT framework that represents an unprecedented endeavour in the EIT Education ecosystem to develop a comprehensive, unique, cross-sectoral education offer that directly implements the Union of Skills and the STEM Strategic Education Plan. Among other initiatives, the EntrEduSkills delivers and implements the EIT STEM.",7.0,Market intelligence,eit urban mobility,horizon europe,,,2026-05-19,3,Shape History
